Time:1441260 || State: START!
Time:1441270 || State: START!
Time:1441280 || State: START!
Time:1441290 || State: START!
Time:1441300 || State: START!
Time:1441310 || State: START!
Time:1441320 || State: START!
Time:1441330 || State: START!
Time:1441340 || State: START!
Time:1441350 || State: START!
Time:1441370 || State: START!
Time:1441380 || State: START!
Time:1441400 || State: START!
Time:1441410 || State: START!
Time:1441420 || State: START!
Time:1441430 || State: START!
Time:1441440 || State: START!
Time:1441450 || State: START!
Time:1441460 || State: START!
Time:1441470 || State: START!
Time:1441480 || State: START!
Time:1441490 || State: START!
Time:1441500 || State: START!
Time:1441510 || State: START!
Time:1441520 || State: START!
Time:1441530 || State: START!
Time:1441540 || State: START!
Time:1441550 || State: START!
Time:1441560 || State: START!
Time:1441570 || State: START!
Time:1441580 || State: START!
Time:1441590 || State: START!
Time:1441600 || State: START!
Time:1441610 || State: START!
Time:1441620 || State: START!
Time:1441630 || State: START!
Time:1441640 || State: START!
Time:1441650 || State: START!
Time:1441660 || State: START!
Time:1441670 || State: START!
Time:1441680 || State: START!
Time:1441690 || State: START!
Time:1441700 || State: START!
Time:1441710 || State: START!
Time:1441720 || State: START!
Time:1441730 || State: START!
Time:1441740 || State: START!
Time:1441750 || State: START!
Time:1441760 || State: START!
Time:1441770 || State: START!
Time:1441780 || State: START!
Time:1441790 || State: START!
Time:1441800 || State: START!
Time:1441810 || State: START!
Time:1441820 || State: START!
Time:1441830 || State: START!
Time:1441840 || State: START!
Time:1441850 || State: START!
Time:1441860 || State: START!
Time:1441870 || State: START!
Time:1441880 || State: START!
Time:1441890 || State: START!
Time:1441900 || State: START!
Time:1441910 || State: START!
Time:1441920 || State: START!
Time:1441930 || State: START!
Time:1441940 || State: START!
Time:1441950 || State: START!
Time:1441960 || State: START!
Time:1441970 || State: START!
Time:1441980 || State: START!
Time:1441990 || State: START!
Time:1442000 || State: START!
Time:1442010 || State: START!
Time:1442020 || State: START!
Time:1442030 || State: START!
Time:1442040 || State: START!
Time:1442050 || State: START!
Time:1442060 || State: START!
Time:1442070 || State: START!
Time:1442080 || State: START!
Time:1442090 || State: START!
Time:1442100 || State: START!
Time:1442110 || State: START!
Time:1442120 || State: START!
Time:1442130 || State: START!
Time:1442140 || State: START!
Time:1442150 || State: START!
Time:1442160 || State: START!
Time:1442170 || State: START!
Time:1442180 || State: START!
Time:1442190 || State: START!
Time:1442200 || State: START!
Time:1442210 || State: START!
Time:1442220 || State: START!
Time:1442230 || State: START!
Time:1442240 || State: START!
Time:1442250 || State: START!
Time:1442260 || State: START!
Time:1442270 || State: START!
Time:1442280 || State: START!
Time:1442290 || State: START!
Time:1442300 || State: START!
Time:1442310 || State: START!
Time:1442320 || State: START!
Time:1442330 || State: START!
Time:1442340 || State: START!
Time:1442350 || State: START!
Time:1442360 || State: START!
Time:1442370 || State: START!
Time:1442380 || State: START!
Time:1442390 || State: START!
Time:1442400 || State: START!
Time:1442410 || State: START!
Time:1442420 || State: START!
Time:1442430 || State: START!
Time:1442440 || State: START!
Time:1442450 || State: START!
Time:1442460 || State: START!
Time:1442470 || State: START!
Time:1442480 || State: START!
Time:1442490 || State: START!
Time:1442500 || State: START!
Time:1442510 || State: START!
Time:1442520 || State: START!
Time:1442530 || State: START!
Time:1442540 || State: START!
Time:1442550 || State: START!
Time:1442560 || State: START!
Time:1442570 || State: START!
Time:1442580 || State: START!
Time:1442590 || State: START!
Time:1442610 || State: START!
Time:1442620 || State: START!
Time:1442630 || State: START!
Time:1442640 || State: START!
Time:1442650 || State: START!
Time:1442660 || State: START!
Time:1442670 || State: START!
Time:1442680 || State: START!
Time:1442690 || State: START!
Time:1442700 || State: START!
Time:1442710 || State: START!
Time:1442720 || State: START!
Time:1442730 || State: START!
Time:1442740 || State: START!
Time:1442750 || State: START!
Time:1442760 || State: START!
Time:1442770 || State: START!
Time:1442780 || State: START!
Time:1442790 || State: START!
Time:1442800 || State: START!
Time:1442810 || State: START!
Time:1442830 || State: START!
Time:1442840 || State: START!
Time:1442850 || State: START!
Time:1442860 || State: START!
Time:1442870 || State: START!
Time:1442880 || State: START!
Time:1442890 || State: START!
Time:1442900 || State: START!
Time:1442910 || State: START!
Time:1442920 || State: START!
Time:1442930 || State: START!
Time:1442940 || State: START!
Time:1442950 || State: START!
Time:1442960 || State: START!
Time:1442970 || State: START!
Time:1442980 || State: START!
Time:1442990 || State: START!
Time:1443000 || State: START!
Time:1443010 || State: START!
Time:1443020 || State: START!
Time:1443030 || State: START!
Time:1443040 || State: START!
Time:1443050 || State: START!
Time:1443060 || State: START!
Time:1443070 || State: START!
Time:1443080 || State: START!
Time:1443090 || State: START!
Time:1443100 || State: START!
Time:1443110 || State: START!
Time:1443120 || State: START!
Time:1443130 || State: START!
Time:1443140 || State: START!
Time:1443150 || State: START!
Time:1443160 || State: START!
Time:1443170 || State: START!
Time:1443180 || State: START!
Time:1443190 || State: START!
Time:1443200 || State: START!
Time:1443210 || State: START!
Time:1443220 || State: START!
Time:1443230 || State: START!
Time:1443240 || State: START!
Time:1443250 || State: START!
Time:1443260 || State: START!
Time:1443270 || State: START!
Time:1443280 || State: START!
Time:1443290 || State: START!
Time:1443300 || State: START!
Time:1443310 || State: START!
Time:1443320 || State: START!
Time:1443330 || State: START!
Time:1443340 || State: START!
Time:1443350 || State: START!
Time:1443360 || State: START!
Time:1443370 || State: START!
Time:1443380 || State: START!
Time:1443390 || State: START!
Time:1443400 || State: START!
Time:1443410 || State: START!
Time:1443420 || State: START!
Time:1443430 || State: START!
Time:1443440 || State: START!
Time:1443450 || State: START!
Time:1443460 || State: START!
Time:1443470 || State: START!
Time:1443480 || State: START!
Time:1443490 || State: START!
Time:1443500 || State: START!
Time:1443510 || State: START!
Time:1443520 || State: START!
Time:1443530 || State: START!
Time:1443540 || State: START!
Time:1443550 || State: START!
Time:1443560 || State: START!
Time:1443570 || State: START!
Time:1443580 || State: START!
Time:1443590 || State: START!
Time:1443600 || State: START!
